data;semana;titulo;km;zona;fc_min;fc_max
27/04;Semana: 27/04/2026 até 03/05/2026;Ter Corrida Rua Fartlec - Z3 12.0 Km Plano;12.0;Z3;137;155
29/04;Semana: 27/04/2026 até 03/05/2026;Qui Corrida Rua Tiro Z5 9.1 Km Plano;9.1;Z5;174;194
02/05;Semana: 27/04/2026 até 03/05/2026;Dom Corrida Rua Corrida Fácil Z2 18.0 Km Subidas e Descidas;18.0;Z2;118;135
04/05;Semana: 04/05/2026 até 10/05/2026;Ter Corrida Rua Fartlec - Z3 12.0 Km Plano;12.0;Z3;137;155
06/05;Semana: 04/05/2026 até 10/05/2026;Qui Corrida Rua Corrida Fácil Z3 8.0 Km Plano;8.0;Z3;137;155
09/05;Semana: 04/05/2026 até 10/05/2026;Dom Corrida Rua Corrida Fácil Z3 14.0 Km Plano;14.0;Z3;137;155
11/05;Semana: 11/05/2026 até 17/05/2026;Ter Corrida Rua Fartlec - Z3 10.5 Km Plano;10.5;Z3;137;155
13/05;Semana: 11/05/2026 até 17/05/2026;Qui Corrida Rua Tiro Z5 9.1 Km Plano;9.1;Z5;174;194
14/05;Semana: 11/05/2026 até 17/05/2026;Sex Corrida Rua Corrida Fácil Z2 7.0 Km Plano;7.0;Z2;118;135
16/05;Semana: 11/05/2026 até 17/05/2026;Dom Corrida Rua Corrida Fácil Z2 18.0 Km Subidas e Descidas;18.0;Z2;118;135
18/05;Semana: 18/05/2026 até 24/05/2026;Ter Corrida Rua Fartlec - Z3 12.0 Km Plano;12.0;Z3;137;155
20/05;Semana: 18/05/2026 até 24/05/2026;Qui Corrida Rua Tiro Z5 9.5 Km Plano;9.5;Z5;174;194
23/05;Semana: 18/05/2026 até 24/05/2026;Dom Corrida Rua Corrida Fácil Z2 14.0 Km Plano;14.0;Z2;118;135
25/05;Semana: 25/05/2026 até 31/05/2026;Ter Corrida Rua Fartlec - Z3 10.5 Km Plano;10.5;Z3;137;155
27/05;Semana: 25/05/2026 até 31/05/2026;Qui Corrida Rua Corrida Fácil Z3 8.0 Km Plano;8.0;Z3;137;155
30/05;Semana: 25/05/2026 até 31/05/2026;Dom Corrida Rua Corrida Fácil Z2 21.0 Km Subidas e Descidas;21.0;Z2;118;135
